KID,Teff,logg,Mass,Prot,Prot_err,LPH,w,DC
5168793,6057,4.57,1.1246,nan,nan,nan,nan,0
5168942,4998,4.29,0.8337,nan,nan,nan,nan,0
5170870,5877,4.60,1.0701,nan,nan,nan,nan,0
5170876,5543,4.64,0.9763,nan,nan,nan,nan,0
5170895,4948,4.34,0.8208,nan,nan,nan,nan,0
5170950,5495,4.32,0.9634,nan,nan,nan,nan,0
5170962,5467,4.46,0.9559,nan,nan,nan,nan,0
5170994,5318,4.55,0.9167,nan,nan,nan,nan,0
5171031,5806,4.40,1.0494,16.500,1.682,0.227,0.1678,0
5171078,5328,4.38,0.9193,nan,nan,nan,nan,0
5171167,5612,4.27,0.9950,15.009,1.584,0.145,0.0548,0
5171202,5543,4.34,0.9763,nan,nan,nan,nan,0
5171259,5291,4.42,0.9096,nan,nan,nan,nan,0
5171263,6283,4.62,1.1985,5.834,0.546,0.221,0.1790,0
5171270,5544,4.44,0.9766,nan,nan,nan,nan,0
5171293,5734,4.42,1.0289,nan,nan,nan,nan,0
5171311,5349,4.39,0.9248,25.614,4.176,0.247,0.1674,0
5171332,5585,4.52,0.9877,nan,nan,nan,nan,0
5171411,5074,4.13,0.8534,nan,nan,nan,nan,0
5171433,5295,4.59,0.9107,nan,nan,nan,nan,0
5171451,5278,4.43,0.9062,nan,nan,nan,nan,0
5171490,4712,4.51,0.7585,44.724,2.600,0.217,0.0675,0
5171555,5695,4.41,1.0180,nan,nan,nan,nan,0
5171577,4835,4.48,0.7912,37.526,9.317,0.318,0.1930,0
5171592,5051,4.13,0.8475,nan,nan,nan,nan,0
5171595,5228,4.32,0.8933,nan,nan,nan,nan,0
5171598,5267,4.37,0.9034,nan,nan,nan,nan,0
5171707,5468,4.43,0.9562,nan,nan,nan,nan,0
5171795,5808,4.46,1.0500,nan,nan,nan,nan,0
5171798,5238,4.54,0.8959,nan,nan,nan,nan,0
5171890,5305,4.46,0.9133,43.516,1.571,0.234,0.0569,0
5171951,5747,4.65,1.0326,nan,nan,nan,nan,0
5171959,5795,4.25,1.0463,8.572,0.992,0.194,0.0917,0
5171988,5487,4.43,0.9613,nan,nan,nan,nan,0
5172152,5230,4.47,0.8938,nan,nan,nan,nan,0
5172174,5345,4.48,0.9237,nan,nan,nan,nan,0
5172189,5878,4.42,1.0704,nan,nan,nan,nan,0
5172380,5418,4.52,0.9429,nan,nan,nan,nan,0
5172382,6092,4.45,1.1357,nan,nan,nan,nan,0
5172408,4800,4.64,0.7820,nan,nan,nan,nan,0
5174359,5488,4.45,0.9615,52.101,1.637,0.157,0.0105,0
5174415,5575,4.67,0.9849,28.352,2.146,0.078,0.0992,0
5174523,5200,4.53,0.8860,44.167,10.929,0.330,0.1284,0
5174532,6273,4.52,1.1951,nan,nan,nan,nan,0
5174603,4940,4.11,0.8187,nan,nan,nan,nan,0
5174691,5983,4.54,1.1018,nan,nan,nan,nan,0
5174741,5875,4.69,1.0695,nan,nan,nan,nan,0
5174747,5484,4.60,0.9604,36.035,4.710,0.112,0.0538,0
5174792,5583,4.67,0.9871,nan,nan,nan,nan,0
5174837,5749,5.00,1.0331,nan,nan,nan,nan,0
5174872,5492,4.74,0.9626,14.942,0.284,0.372,0.2275,0
5174891,6364,4.67,1.2267,nan,nan,nan,nan,0
5174918,5795,4.63,1.0463,nan,nan,nan,nan,0
5174931,5691,4.51,1.0169,29.128,5.580,0.284,0.1472,0
5174945,6155,4.52,1.1559,nan,nan,nan,nan,0
5174989,5321,4.48,0.9175,nan,nan,nan,nan,0
5175018,5869,4.35,1.0677,13.292,0.902,0.028,0.0769,0
5175089,5946,4.49,1.0906,nan,nan,nan,nan,0
5175145,5535,4.47,0.9741,62.219,7.553,0.258,0.0241,0
5175151,5500,4.62,0.9647,nan,nan,nan,nan,0
5175161,5644,4.52,1.0038,nan,nan,nan,nan,0
5175167,5561,4.53,0.9811,66.563,11.264,0.348,0.0895,0
5175182,5782,4.29,1.0425,32.316,5.240,0.126,0.0380,0
5175233,5499,4.65,0.9645,nan,nan,nan,nan,0
5175248,5684,4.42,1.0149,nan,nan,nan,nan,0
5175436,5820,4.47,1.0535,nan,nan,nan,nan,0
5175461,5552,4.46,0.9787,nan,nan,nan,nan,0
5175481,5181,4.62,0.8811,nan,nan,nan,nan,0
5175514,5352,4.74,0.9256,28.393,4.291,0.178,0.1287,0
5175527,5871,4.46,1.0683,19.511,0.157,0.065,0.1132,0
