,angDist,kepid,source_id,ra_gaia,ra_error,dec_gaia,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,tm_designation,ra_kic,dec_kic,kepmag,teff,teff_err1,teff_err2,teff_prov,logg_gk,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,kepoi_name,planet?,relative_parallax_err,Teff,logg_mc,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag,jz
8178,1.180958,5167364.0,2.1034286609163617e+18,284.74607448706,0.0146,40.34200629417,0.0143,2.7346,0.0155,6.068,0.031,-14.557,0.029,96560.8,56.0602,13.226363,,,,,,,,9.38,1.55,,,,,,b'2MASS J18585902+4020326',284.74594,40.342388,12.239,5746.0,155.0,-138.0,b'PHO1',4.356,0.154,-0.126,b'FLK73',-0.22,0.3,-0.25,b'KIC0',1.027,0.201,-0.164,0.872,0.12,-0.07,b'DSEP',0.0,0.0,1.0,11.091,10.726,10.706,b'N/A',b'none',0.005668105024500841,5508,4.56,0.9669,21.486,2.588,2442.6,0.40399999999999997,0.2989,0,---,1.0988729359690848
8179,0.551631,5167364.0,2.103428660916362e+18,284.74592181083,0.0175,40.34247224519,0.0214,2.6856,0.0213,6.469,0.04,-14.678,0.042,172782.0,48.2718,12.594621,97306.7,1120.12,12.881031,132693.0,2855.65,11.954797,0.926234,8.87,1.03,5669.4,0.3318,0.187,1.01,0.953,b'2MASS J18585902+4020326',284.74594,40.342388,12.239,5746.0,155.0,-138.0,b'PHO1',4.356,0.154,-0.126,b'FLK73',-0.22,0.3,-0.25,b'KIC0',1.027,0.201,-0.164,0.872,0.12,-0.07,b'DSEP',0.0,0.0,1.0,11.091,10.726,10.706,b'N/A',b'none',0.007931188561215372,5508,4.56,0.9669,21.486,2.588,2442.6,0.40399999999999997,0.2989,0,---,1.2677524461405403
8195,0.036871,5168890.0,2.1037460074600376e+18,285.45489778901,0.0182,40.38524649258,0.024,3.0081,0.025,0.3,0.04,-5.878,0.043,221448.0,36.4286,12.325188,120615.0,129.627,12.647884,145910.0,108.629,11.851709,0.796175,6.28,1.45,5836.75,0.0173,0.008,0.96,0.963,b'2MASS J19014917+4023069',285.4549,40.385262,12.387,6109.0,165.0,-183.0,b'PHO1',4.417,0.077,-0.154,b'FLK73',-0.12,0.25,-0.35,b'KIC0',1.041,0.228,-0.123,1.027,0.137,-0.123,b'DSEP',0.0,0.0,0.0,11.327,11.06,10.985,b'N/A',b'none',0.008310893919750009,5834,4.16,1.0575,14.142999999999999,0.08199999999999999,4322.32,1.054,0.6094,0,---,0.6395111574366856
8197,0.053093,5171232.0,2.1007110461301084e+18,286.51287407282,0.0197,40.35959748405,0.0202,2.7689,0.0218,1.514,0.043,-1.324,0.041,142654.0,161.253,12.802653,72901.2,264.712,13.194551,99685.5,298.675,12.26534,0.929212,-16.54,1.79,5442.0,0.0802,0.036,0.98,0.756,b'2MASS J19060308+4021346',286.51285,40.359612,12.903,5651.0,135.0,-152.0,b'PHO1',4.503,0.06,-0.18,b'KIC0',-0.08,0.3,-0.3,b'KIC0',0.89,0.229,-0.098,0.92,0.104,-0.095,b'DSEP',0.0,0.0,0.0,11.699,11.385,11.294,b'N/A',b'none',0.007873162627758315,5451,4.51,0.9517,4.05,0.003,50705.85,1.7169999999999999,0.7823,0,---,0.498571229151558
8300,0.094156,5184384.0,2.1014967846294497e+18,291.01308624979,0.0989,40.38204434206,0.111,2.5427,0.116,-9.167,0.222,-21.167,0.2,762351.0,205.293,10.982978,422174.0,475.338,11.28766,490774.0,460.551,10.534716,0.752944,21.38,0.66,5946.0,1.468,0.732,2.02,4.616,b'2MASS J19240315+4022557',291.01315,40.38216,11.041,6139.0,146.0,-183.0,b'PHO1',4.513,0.04,-0.16,b'FLK73',-0.34,0.3,-0.3,b'KIC0',0.912,0.204,-0.082,0.991,0.106,-0.129,b'DSEP',0.0,0.0,0.0,10.044,9.785,9.717,b'N/A',b'none',0.04562079679081292,5929,4.31,1.0855,12.225999999999999,0.223,503.81,0.36200000000000004,0.2704,0,---,1.0600029669603646
8327,0.055633,5186378.0,2.0534476454606413e+18,291.60605649212,0.0218,40.36291167178,0.0266,3.171,0.0292,29.426,0.044,-6.751,0.042,177507.0,48.4746,12.56533,86258.7,146.659,13.011881,130250.0,144.067,11.974975,1.036906,41.52,7.1,5120.75,0.3865,0.1905,1.1,0.752,b'2MASS J19262541+4021465',291.60587,40.362942,12.573,5261.0,142.0,-142.0,b'PHO1',4.645,0.03,-0.084,b'KIC0',-0.46,0.3,-0.3,b'KIC0',0.683,0.098,-0.049,0.755,0.073,-0.073,b'DSEP',0.0,0.0,0.0,11.255,10.826,10.773,b'N/A',b'none',0.009208451592557553,5084,4.74,0.856,8.94,0.095,3427.62,1.07,0.5697,0,---,5.897433396488756
8370,0.037332,5195941.0,2.0765382443386885e+18,294.31230020417,0.023,40.31246683864,0.033,2.5282,0.0316,-9.712,0.048,3.361,0.054,162885.0,31.9693,12.658666,88077.4,83.8336,12.989227,108256.0,63.532,12.175795,0.813433,10.78,1.47,5814.33,0.0883,0.0543,0.99,1.004,b'2MASS J19371496+4018448',294.31235,40.312462,12.719,6065.0,163.0,-181.0,b'PHO1',4.303,0.14,-0.14,b'FLK73',-0.24,0.3,-0.3,b'KIC0',1.153,0.243,-0.199,0.975,0.144,-0.108,b'DSEP',0.0,0.0,0.0,11.606,11.319,11.289,b'N/A',b'none',0.01249901115418084,5802,4.32,1.0483,15.307,0.14400000000000002,1466.99,0.5529999999999999,0.4106,0,---,5.885980667758825
8373,0.215942,5196288.0,2.076540447664705e+18,294.39945311742,0.3426,40.39720265839,0.4131,1.4999,0.4352,3.035,0.8,-9.012,0.815,159812.0,1176.83,12.679338,107371.0,490.013,12.774172,126478.0,264.479,12.00688,0.767292,-13.66,18.15,5823.33,,,,,b'2MASS J19373587+4023500',294.39951,40.397221,12.524,6224.0,150.0,-206.0,b'PHO1',4.454,0.052,-0.157,b'FLK73',-0.14,0.25,-0.35,b'KIC0',1.024,0.227,-0.105,1.084,0.12,-0.134,b'DSEP',0.0,0.0,0.0,11.446,11.222,11.138,b'N/A',b'none',0.29015267684512297,5973,4.17,1.0988,7.442,0.015,3772.85,0.9079999999999999,0.5678,0,---,2.5777136737594777
8383,0.106129,5197187.0,2.0765481399397752e+18,294.62437672944,0.0167,40.34401096312,0.0201,2.2073,0.0208,2.533,0.037,8.604,0.039,292026.0,47.8391,12.024811,160021.0,210.958,12.340949,190364.0,132.933,11.562958,0.777991,-21.82,5.11,5932.0,0.5417,0.2737,1.45,2.348,b'2MASS J19382983+4020383',294.62433,40.34399,12.046,6195.0,156.0,-187.0,b'PHO1',4.293,0.14,-0.14,b'FLK73',-0.26,0.3,-0.3,b'KIC0',1.183,0.246,-0.201,1.002,0.147,-0.12,b'DSEP',0.0,0.0,0.0,11.026,10.76,10.682,b'N/A',b'none',0.009423277307117292,5950,4.41,1.0918,17.371,0.057999999999999996,3021.57,1.3359999999999999,0.6427,0,---,0.6908179631289427
8390,0.043354,5197844.0,2.0765021365553976e+18,294.79811502324,0.0421,40.36996265222,0.0489,3.5289,0.0492,9.78,0.085,-8.867,0.094,161273.0,95.238,12.669462,83363.0,213.074,13.048955,111174.0,183.802,12.146908,0.902047,-18.56,3.2,5489.25,0.092,0.0492,0.8,0.524,b'2MASS J19391153+4022120',294.79807,40.37001,12.727,5787.0,138.0,-173.0,b'PHO1',4.438,0.084,-0.196,b'KIC0',0.02,0.25,-0.3,b'KIC0',0.992,0.281,-0.12,0.983,0.125,-0.114,b'DSEP',0.0,0.0,0.0,11.545,11.245,11.165,b'N/A',b'none',0.013942021593131003,5562,4.43,0.9814,8.722999999999999,0.042,17324.03,1.422,0.7406,0,---,1.3127756558797128
