,angDist,kepid,source_id,ra_gaia,ra_error,dec_gaia,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,tm_designation,ra_kic,dec_kic,kepmag,teff,teff_err1,teff_err2,teff_prov,logg_gk,logg_err1,logg_err2,logg_prov,feh,feh_err1,feh_err2,feh_prov,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,prov_sec,nconfp,nkoi,ntce,jmag,hmag,kmag,kepoi_name,planet?,relative_parallax_err,Teff,logg_mc,Mass,Prot,Prot_err,Rper,LPH,w,DC,Flag,jz
22567,0.193006,8145089.0,2.1053665845192904e+18,282.34343991706,0.011,44.04587510726,0.0132,4.0037,0.0132,-7.154,0.024,-70.029,0.027,67596.3,14.3464,13.613559,28089.8,38.3978,14.230017,56537.6,55.117,12.881077,1.34894,-25.82,1.29,4897.7,0.2068,0.1002,0.6,0.188,b'2MASS J18492244+4402463',282.34354,44.046211,13.652,4785.0,143.0,-129.0,b'PHO1',4.503,0.073,-0.11,b'KIC0',0.44,0.05,-0.3,b'KIC0',0.827,0.076,-0.084,0.795,0.051,-0.046,b'DSEP',0.0,0.0,0.0,11.974,11.419,11.306,b'N/A',b'none',0.003296950320953118,4591,4.32,0.7257,38.949,0.741,2598.43,0.431,0.263,0,---,3.2280219545044395
22580,0.066107,8145762.0,2.1053462435542615e+18,282.73738402969,0.045,44.08920064978,0.0542,2.7744,0.0518,7.206,0.103,12.146,0.112,80971.8,19.4064,13.417532,35580.9,56.3357,13.973345,64934.6,67.14,12.730729,1.242616,-25.63,1.85,4951.75,0.7225,0.3607,0.93,0.464,b'2MASS J18505696+4405208',282.73734,44.08913,13.43,4979.0,149.0,-149.0,b'PHO1',4.489,0.097,-0.52,b'KIC0',0.22,0.2,-0.3,b'KIC0',0.846,0.146,-0.093,0.804,0.074,-0.055,b'DSEP',0.0,0.0,1.0,11.856,11.391,11.294,b'N/A',b'none',0.018670703575547867,4776,4.21,0.7756,14.05,0.7340000000000001,7623.02,1.005,0.5578,0,---,0.943663542293751
22609,0.059956,8150612.0,2.105929358374888e+18,285.31184665772,0.0165,44.03780390761,0.0183,3.4434,0.0188,-1.882,0.039,-16.375,0.037,459116.0,104.279,11.533559,252707.0,286.113,11.844843,296308.0,161.27,11.082562,0.76228,-24.0,0.6,5950.0,0.122,0.051,1.16,1.516,b'2MASS J19011484+4402164',285.31186,44.037891,11.592,6179.0,154.0,-200.0,b'PHO1',4.443,0.055,-0.154,b'FLK73',-0.06,0.25,-0.35,b'KIC0',1.041,0.244,-0.105,1.095,0.129,-0.142,b'DSEP',0.0,0.0,0.0,10.557,10.322,10.265,b'N/A',b'none',0.0054597200441424175,5939,4.45,1.0885,12.97,0.037000000000000005,1657.55,0.616,0.4526,0,---,0.6378482219610283
22610,0.102958,8150651.0,2.105935375628882e+18,285.33307567967,0.0159,44.07176820151,0.0177,1.3281,0.018,-1.145,0.035,-5.494,0.036,118347.0,63.2611,13.005468,64291.8,114.484,13.330998,78397.1,112.252,12.52617,0.804829,-25.23,3.98,5878.0,0.862,0.4295,1.57,2.635,b'2MASS J19011993+4404185',285.33307,44.071819,13.035,6108.0,164.0,-183.0,b'PHO1',4.469,0.063,-0.147,b'FLK73',-0.3,0.25,-0.35,b'KIC0',0.956,0.204,-0.102,0.981,0.106,-0.118,b'DSEP',0.0,0.0,0.0,11.977,11.692,11.651,b'N/A',b'none',0.013553196295459678,5878,4.5,1.0704,6.305,0.049,3533.12,0.8220000000000001,0.5019,0,---,2.150818625033721
22659,0.086192,8160546.0,2.1268585321511987e+18,290.00844009912,0.0225,44.07696652309,0.0271,0.9994,0.0269,1.252,0.054,-5.318,0.054,150281.0,130.402,12.746103,76484.0,156.421,13.142462,105168.0,234.915,12.207212,0.935249,-41.39,8.22,5431.67,,,2.79,6.12,b'2MASS J19200202+4404370',290.00845,44.076969,12.776,5532.0,149.0,-149.0,b'PHO1',4.607,0.037,-0.112,b'KIC0',-0.4,0.3,-0.3,b'KIC0',0.745,0.139,-0.06,0.833,0.079,-0.097,b'DSEP',0.0,0.0,4.0,11.583,11.258,11.168,b'N/A',b'none',0.02691614968981389,5349,4.83,0.9248,2.944,0.057999999999999996,15326.98,1.456,0.7213,0,---,4.963363577319951
22675,0.027698,8162117.0,2.1268633425147581e+18,290.50058788028,0.0185,44.03129477804,0.0198,0.9237,0.0211,-2.481,0.043,6.533,0.044,178721.0,28.1298,12.557925,94910.1,125.066,12.908107,120557.0,149.156,12.05894,0.849167,-16.54,7.33,5761.0,,,2.89,8.281,b'2MASS J19220015+4401525',290.50061,44.031261,12.573,5831.0,140.0,-158.0,b'PHO1',4.563,0.044,-0.176,b'KIC0',-0.48,0.3,-0.3,b'KIC0',0.801,0.211,-0.07,0.856,0.099,-0.081,b'DSEP',0.0,0.0,0.0,11.483,11.191,11.129,b'N/A',b'none',0.022842914366136193,5617,4.56,0.9964,5.813,0.313,3083.77,1.035,0.5825,0,---,8.324898587499359
22718,0.060899,8166163.0,2.1261603079081231e+18,291.95458761208,0.0117,44.0226092229,0.0135,5.5884,0.0139,20.047,0.025,-6.643,0.029,63846.0,18.2695,13.675531,23402.7,43.1668,14.428225,58672.4,53.6572,12.840836,1.587389,-36.11,1.98,4291.33,0.2363,0.1195,0.61,0.114,b'2MASS J19274907+4401214',291.95447,44.022621,13.696,4245.0,115.0,-140.0,b'PHO1',4.658,0.059,-0.027,b'KIC0',-0.38,0.3,-0.3,b'KIC0',0.587,0.044,-0.065,0.573,0.062,-0.051,b'DSEP',0.0,0.0,0.0,11.77,11.148,11.02,b'N/A',b'none',0.0024872951113019824,4127,4.42,0.5934,26.836,0.031,6679.53,0.9890000000000001,0.5870000000000001,0,---,2.5066020330132175
22770,0.036802,8174654.0,2.0783159184204616e+18,294.85576766487,0.0181,44.09787507443,0.0201,3.9386,0.0217,12.652,0.04,18.434,0.037,398315.0,368.585,11.687799,211152.0,600.319,12.039902,268298.0,587.611,11.190376,0.849525,-18.78,0.56,5761.33,0.1457,0.0697,1.01,1.015,b'2MASS J19392536+4405520',294.85568,44.09779,11.701,5993.0,163.0,-181.0,b'PHO1',4.261,0.185,-0.185,b'KIC0',-0.08,0.3,-0.3,b'KIC0',1.238,0.353,-0.257,1.019,0.16,-0.12,b'DSEP',0.0,0.0,0.0,10.589,10.328,10.257,b'N/A',b'none',0.005509571929111867,5729,4.26,1.0275,4.711,0.122,12107.55,0.863,0.5034,0,---,0.1924575364397673
22773,0.02204,8174878.0,2.0783088746736108e+18,294.93033788085,0.0112,44.02898517653,0.0139,2.7304,0.0141,-7.515,0.024,-5.217,0.025,94753.7,57.5368,13.246876,46237.6,116.29,13.6889,69471.5,170.823,12.657403,1.031497,4.25,2.43,5145.38,0.1763,0.0875,0.92,0.539,b'2MASS J19394329+4401444',294.93039,44.029011,13.277,5476.0,164.0,-147.0,b'PHO1',4.344,0.18,-0.22,b'KIC0',-0.02,0.3,-0.25,b'KIC0',1.028,0.31,-0.207,0.851,0.119,-0.064,b'DSEP',0.0,0.0,0.0,11.945,11.577,11.5,b'N/A',b'none',0.0051640785232932905,5276,4.31,0.9057,13.437999999999999,0.099,11523.66,1.29,0.7035,0,---,1.9034872820842312
22779,0.096392,8175266.0,2.078126660683261e+18,295.04451115375,0.0184,44.00540635586,0.0241,2.2197,0.0233,9.752,0.038,8.29,0.045,264414.0,51.3573,12.132657,139887.0,173.398,12.486948,178619.0,142.228,11.632103,0.854845,-24.1,0.92,5740.0,0.64,0.319,1.47,2.124,b'2MASS J19401067+4400193',295.04449,44.005371,12.177,5815.0,146.0,-160.0,b'PHO1',4.54,0.035,-0.184,b'KIC0',-0.12,0.3,-0.3,b'KIC0',0.877,0.246,-0.082,0.973,0.104,-0.116,b'DSEP',0.0,0.0,0.0,11.053,10.778,10.704,b'N/A',b'none',0.010496913997387034,5617,4.75,0.9964,15.272,0.247,3762.9,0.87,0.5758,0,---,0.8287994189878236
22786,0.016223,8176468.0,2.0796138575376712e+18,295.40422412107,0.3002,44.06210693192,0.3278,6.5049,0.3594,8.259,0.642,-11.621,0.578,120548.0,89.1561,12.985463,44273.1,99.6927,13.736037,111131.0,167.611,12.147335,1.588702,10.7,3.38,4314.67,0.6563,0.3185,0.71,0.157,b'2MASS J19413700+4403437',295.40417,44.06216,12.994,4327.0,116.0,-129.0,b'PHO1',4.627,0.052,-0.021,b'KIC0',-0.18,0.3,-0.3,b'KIC0',0.634,0.04,-0.06,0.621,0.062,-0.056,b'DSEP',0.0,0.0,6.0,11.066,10.442,10.309,b'N/A',b'none',0.055250657196882345,4164,4.42,0.6082,8.542,0.038,30778.08,1.169,0.6123,0,---,0.10385920342758524
22787,0.103174,8176536.0,2.0796136513792425e+18,295.42919688678,0.0119,44.03659400326,0.0156,4.7796,0.0157,-50.885,0.026,-8.792,0.026,114866.0,45.3465,13.03789,51911.3,76.1925,13.563233,90308.0,80.8853,12.372604,1.190629,-9.13,4.34,4937.0,0.0133,0.0047,0.64,0.222,b'2MASS J19414308+4402119',295.42953,44.036652,13.07,4930.0,148.0,-133.0,b'PHO1',4.578,0.07,-0.04,b'KIC0',-0.34,0.35,-0.3,b'KIC0',0.701,0.062,-0.069,0.679,0.095,-0.041,b'DSEP',0.0,0.0,0.0,11.535,11.022,10.941,b'N/A',b'none',0.003284793706586325,4774,4.46,0.7751,24.336,0.057,12473.79,1.1,0.6081,0,---,17.95354874597628
22807,0.034315,8179177.0,2.0795798070375296e+18,296.24426273607,0.0228,44.09782817753,0.0228,3.7008,0.025,-5.144,0.05,11.148,0.042,551952.0,216.745,11.333612,305959.0,374.443,11.637231,354994.0,293.939,10.886369,0.750862,-7.01,0.89,5942.25,0.0605,0.026,1.19,1.578,b'2MASS J19445862+4405519',296.24429,44.097771,11.376,6185.0,149.0,-187.0,b'PHO1',4.472,0.05,-0.15,b'FLK73',-0.18,0.25,-0.35,b'KIC0',0.991,0.218,-0.109,1.06,0.111,-0.136,b'DSEP',0.0,0.0,0.0,10.397,10.115,10.065,b'N/A',b'none',0.006755296152183312,5946,4.46,1.0906,11.682,0.079,907.3,0.433,0.3228,0,---,2.51889594995969
22840,0.092873,8181646.0,2.078910749910438e+18,296.95151396054,0.0216,44.05104365803,0.0273,2.7538,0.0281,-10.742,0.046,-17.602,0.046,306975.0,82.9749,11.970607,155245.0,334.316,12.373841,218184.0,240.499,11.414863,0.958979,-6.12,15.48,5414.0,0.723,0.3425,1.46,1.65,b'2MASS J19474838+4403041',296.9516,44.05114,11.963,5486.0,146.0,-146.0,b'PHO1',4.612,0.037,-0.112,b'KIC0',-0.4,0.3,-0.3,b'KIC0',0.736,0.131,-0.056,0.824,0.075,-0.092,b'DSEP',0.0,0.0,9.0,10.728,10.382,10.304,b'N/A',b'none',0.01020408163265306,5315,4.7,0.9159,12.944,0.071,6333.95,1.081,0.6232,0,---,0.6697517346336417
22854,0.081393,8182250.0,2.0789076961971937e+18,297.10112739907,0.0201,44.03077138577,0.0254,2.997,0.0254,-9.142,0.045,-18.349,0.052,239430.0,41.9915,12.240421,124272.0,138.723,12.615452,164286.0,132.116,11.722918,0.892534,-23.06,2.11,5463.33,0.241,0.121,1.16,1.081,b'2MASS J19482428+4401511',297.1012,44.030869,12.274,5815.0,139.0,-174.0,b'PHO1',4.402,0.092,-0.138,b'FLK73',0.06,0.25,-0.3,b'KIC0',1.044,0.206,-0.137,1.003,0.113,-0.113,b'DSEP',0.0,0.0,0.0,11.161,10.836,10.787,b'N/A',b'none',0.008475141808475141,5585,4.5,0.9877,19.711,0.163,2226.47,0.391,0.287,0,---,0.25594345732676366
22869,0.277319,8183385.0,2.0788670443232317e+18,297.36918335704,0.0382,44.08540287534,0.0525,9.6454,0.0499,-36.864,0.088,-63.643,0.104,197665.0,43.8193,12.448539,68607.8,129.094,13.260454,190336.0,530.8,11.563119,1.697335,-20.4,1.62,4155.62,0.8277,0.411,0.69,0.127,b'2MASS J19492868+4405084',297.36951,44.08569,12.412,4152.0,130.0,-144.0,b'PHO1',4.626,0.052,-0.017,b'KIC0',0.1,0.25,-0.3,b'KIC0',0.643,0.031,-0.058,0.637,0.05,-0.056,b'DSEP',0.0,0.0,0.0,10.389,9.76,9.594,b'N/A',b'none',0.005173450556742074,4040,4.55,0.5587,20.57,0.233,4080.89,1.02,0.603,0,---,0.19890138783470446
22998,0.145957,8213064.0,2.10537294107092e+18,282.42524056899,0.0158,44.1168379427,0.0192,2.8066,0.0192,-10.607,0.035,-46.534,0.037,343025.0,52.8094,11.85005,180030.0,319.482,12.213027,231033.0,204.624,11.352734,0.860293,-16.82,1.0,5727.37,0.453,0.226,1.33,1.725,b'2MASS J18494208+4407014',282.42535,44.117062,11.89,6008.0,163.0,-181.0,b'PHO1',4.104,0.221,-0.136,b'FLK73',0.4,0.05,-0.3,b'KIC0',1.691,0.363,-0.444,1.327,0.141,-0.211,b'DSEP',0.0,0.0,0.0,10.81,10.527,10.469,b'N/A',b'none',0.006841017601368203,5733,4.29,1.0286,23.421999999999997,0.466,761.99,0.392,0.2591,0,---,1.0253740389780492
23034,0.796448,8218974.0,2.105889952054832e+18,285.5044608651,0.0198,44.13700641184,0.0206,4.1872,0.0213,22.016,0.042,10.028,0.04,163419.0,91.9107,12.65511,80607.3,558.587,13.085452,134180.0,2710.61,11.942698,1.142755,-18.91,2.26,5040.0,0.469,0.2332,0.83,0.403,b'2MASS J19020103+4408122',285.50433,44.136742,12.256,5476.0,209.0,-190.0,b'KIC0',4.499,0.115,-0.127,b'KIC0',-0.46,0.3,-0.3,b'KIC0',0.803,0.135,-0.098,0.74,0.117,-0.05,b'DSEP',0.0,0.0,0.0,10.867,10.374,10.284,b'N/A',b'none',0.005086931601069928,5272,4.5,0.9047,10.252,0.11,9918.21,1.308,0.7116,0,---,2.299564776468996
23052,0.051302,8222161.0,2.1060510305083254e+18,287.24783490155,0.0198,44.14053615926,0.0195,2.2621,0.0223,-6.34,0.043,-6.631,0.04,149930.0,33.5924,12.748644,79992.1,77.4368,13.09377,100174.0,93.955,12.260032,0.833738,-10.02,1.64,5766.0,0.14,0.0753,1.08,1.158,b'2MASS J19085949+4408260',287.24789,44.140572,12.775,5988.0,143.0,-179.0,b'PHO1',4.222,0.192,-0.128,b'FLK73',-0.1,0.3,-0.3,b'KIC0',1.293,0.266,-0.292,1.016,0.146,-0.12,b'DSEP',0.0,0.0,0.0,11.684,11.45,11.336,b'N/A',b'none',0.009858096459042481,5727,4.51,1.0269,18.801,1.123,2222.3,0.48,0.3611,0,---,1.6157321504289064
23068,0.087519,8223872.0,2.1031181820205906e+18,288.13754794566,0.0203,44.11338804794,0.0277,4.3361,0.0263,-20.202,0.045,-3.224,0.049,469491.0,103.814,11.509297,246820.0,275.445,11.870439,318087.0,234.961,11.005554,0.864884,-21.55,2.1,5610.91,0.163,0.081,1.06,0.998,b'2MASS J19123304+4406482',288.1377,44.113392,11.549,5706.0,77.0,-85.0,b'SPE68',4.407,0.08,-0.12,b'SPE68',0.2,0.15,-0.15,b'SPE68',1.044,0.164,-0.089,1.015,0.057,-0.057,b'DSEP',0.0,0.0,0.0,10.433,10.124,10.068,b'N/A',b'none',0.006065358271257581,5512,4.59,0.9679,20.873,2.6239999999999997,2228.05,0.445,0.3262,0,---,3.0809401797367864
23078,0.072001,8226510.0,2.126914160567912e+18,289.39564187491,0.0122,44.10481194135,0.0192,1.7974,0.0166,-3.443,0.027,-0.033,0.032,76672.5,18.6258,13.476766,40825.8,53.2412,13.824051,52142.0,56.3321,12.96895,0.855101,-27.24,3.67,5758.33,0.0962,0.046,0.97,0.938,b'2MASS J19173496+4406173',289.39566,44.104832,13.488,6014.0,163.0,-199.0,b'PHO1',4.486,0.052,-0.208,b'KIC0',0.07,0.25,-0.35,b'KIC0',0.993,0.318,-0.106,1.101,0.12,-0.16,b'DSEP',0.0,0.0,1.0,12.366,12.084,12.049,b'N/A',b'none',0.00923556247913653,5739,4.6,1.0303,20.410999999999998,0.539,2346.78,0.419,0.3051,0,---,1.4112980439687373
23079,0.056492,8226542.0,2.1269145728847872e+18,289.41162539868,0.0236,44.13464248788,0.0345,5.6909,0.0304,9.053,0.051,-30.887,0.055,171872.0,44.2839,12.600353,73087.7,142.006,13.191778,141244.0,172.086,11.886997,1.304781,-2.68,1.97,4790.38,0.326,0.159,0.72,0.244,b'2MASS J19173877+4408052',289.41156,44.134789,12.604,4575.0,164.0,-109.0,b'PHO1',4.652,0.01,-0.02,b'FLK73',-0.6,0.3,-0.1,b'KIC0',0.599,0.036,-0.012,0.586,0.059,-0.012,b'DSEP',0.0,0.0,4.0,10.94,10.463,10.352,b'N/A',b'none',0.005341861568468959,4429,4.56,0.6802,10.834000000000001,0.046,4549.98,0.8079999999999999,0.4477,0,SM2,0.9043030190482643
23136,0.08006,8235498.0,2.1263459492748288e+18,292.61815977772,0.0206,44.15864647007,0.0256,5.5565,0.0259,-7.067,0.046,3.319,0.048,962380.0,233.378,10.729999,512866.0,247.888,11.076378,636978.0,398.343,10.251609,0.824769,-29.41,0.32,5585.8,0.1963,0.0965,1.19,1.249,b'2MASS J19302837+4409311',292.61823,44.158642,10.765,6063.0,163.0,-181.0,b'PHO1',4.146,0.198,-0.132,b'FLK73',0.12,0.2,-0.3,b'KIC0',1.518,0.348,-0.348,1.177,0.136,-0.166,b'DSEP',0.0,0.0,0.0,9.685,9.428,9.381,b'N/A',b'none',0.0046612075947089,5774,3.73,1.0403,17.726,3.4530000000000003,1103.25,0.5710000000000001,0.4089,0,---,0.5137887957069506
23165,0.079676,8242135.0,2.0783160515588797e+18,294.87039712587,0.0183,44.12284970969,0.0226,3.9307,0.0223,12.674,0.04,18.469,0.044,385759.0,149.526,11.722575,205011.0,312.651,12.071944,258957.0,232.07,11.22885,0.843094,-18.87,0.84,5747.0,0.085,0.0445,1.0,0.988,b'2MASS J19392887+4407219',294.87033,44.122749,11.747,5984.0,163.0,-181.0,b'PHO1',4.18,0.225,-0.164,b'KIC0',-0.02,0.25,-0.3,b'KIC0',1.384,0.375,-0.375,1.059,0.159,-0.13,b'DSEP',0.0,0.0,0.0,10.66,10.374,10.308,b'N/A',b'none',0.005673289744829166,5728,4.19,1.0272,5.79,0.006999999999999999,10779.38,1.2890000000000001,0.6961,0,---,0.19293444809704813
23201,0.174804,8245295.0,2.0795955094386186e+18,295.86739133591,0.0277,44.18898079723,0.0321,6.7944,0.0333,51.067,0.058,-16.16,0.069,1027800.0,323.697,10.658591,535338.0,543.821,11.029818,700178.0,439.266,10.148899,0.880919,-14.67,0.67,5476.62,0.137,0.0675,1.05,0.901,b'2MASS J19432809+4411206',295.86703,44.189079,10.66,5771.0,130.0,-158.0,b'PHO1',4.537,0.038,-0.142,b'FLK73',-0.08,0.25,-0.3,b'KIC0',0.88,0.174,-0.075,0.972,0.083,-0.124,b'DSEP',0.0,0.0,0.0,9.541,9.234,9.153,b'N/A',b'none',0.004901095019427764,5557,4.13,0.9801,21.629,4.265,2586.25,0.662,0.4426,0,---,7.844399862656264
23251,0.023809,8249914.0,2.0789160456137247e+18,297.17902669065,0.02,44.1907373045,0.0258,2.2898,0.0256,0.261,0.042,-1.671,0.046,142761.0,28.0207,12.801846,74417.6,71.6418,13.172199,98545.1,73.9519,12.277833,0.894366,-4.24,1.41,5577.52,,,1.12,1.091,b'2MASS J19484296+4411266',297.17902,44.190739,12.785,5989.0,163.0,-181.0,b'PHO1',4.103,0.293,-0.158,b'KIC0',-0.04,0.25,-0.3,b'KIC0',1.526,0.405,-0.495,1.076,0.156,-0.156,b'DSEP',0.0,0.0,0.0,11.7,11.379,11.32,b'N/A',b'none',0.01118001572189711,5739,4.09,1.0303,13.238,0.353,2338.05,0.562,0.3856,0,---,0.4537887866128705
23254,0.042372,8250025.0,2.0789150792374682e+18,297.20810431094,0.0225,44.13687386912,0.0246,1.6873,0.0254,2.624,0.051,5.674,0.049,256044.0,44.3112,12.167581,139824.0,208.435,12.487435,168111.0,125.651,11.697929,0.789506,-16.45,2.78,5888.0,1.074,0.532,1.81,3.53,b'2MASS J19484994+4408126',297.2081,44.136841,12.182,6200.0,167.0,-204.0,b'PHO1',4.267,0.14,-0.14,b'FLK73',-0.06,0.25,-0.3,b'KIC0',1.267,0.281,-0.23,1.082,0.16,-0.131,b'DSEP',0.0,0.0,0.0,11.139,10.911,10.864,b'N/A',b'none',0.015053635986487287,5945,4.17,1.0903,9.215,0.028999999999999998,2099.69,0.622,0.4241,0,SM2,0.7214995451566413
23422,0.065518,8279671.0,2.105351294435809e+18,282.55882293235,0.0174,44.26575078152,0.0221,3.056,0.0208,8.032,0.039,-3.43,0.044,135873.0,48.6664,12.855533,69200.8,114.266,13.25111,95566.5,88.557,12.311155,0.939955,6.52,5.12,5491.68,0.084,0.041,0.85,0.588,b'2MASS J18501410+4415567',282.55875,44.26577,12.85,5712.0,152.0,-152.0,b'PHO1',4.134,0.35,-0.175,b'KIC0',-0.16,0.3,-0.25,b'KIC0',1.355,0.365,-0.446,0.912,0.125,-0.091,b'DSEP',0.0,0.0,0.0,11.659,11.34,11.253,b'N/A',b'none',0.006806282722513089,5499,4.14,0.9645,8.06,0.013000000000000001,16607.11,1.403,0.7525,0,---,0.7203798347974533
23450,0.105083,8283948.0,2.105950974950363e+18,284.82074401092,0.0215,44.29101007546,0.0258,4.0729,0.0279,-20.395,0.044,-24.895,0.046,418359.0,90.2565,11.634494,220218.0,186.516,11.994259,292975.0,386.085,11.094842,0.899417,-1.86,5.45,5782.55,0.1972,0.107,0.99,0.996,b'2MASS J18591700+4417280',284.82083,44.29113,11.651,5862.0,158.0,-158.0,b'PHO1',4.318,0.2,-0.2,b'KIC0',-0.44,0.3,-0.25,b'KIC0',1.048,0.291,-0.238,0.833,0.119,-0.059,b'DSEP',0.0,0.0,1.0,10.421,10.069,9.954,b'N/A',b'none',0.0068501559085663785,5577,4.31,0.9855,39.412,0.17,484.23,0.7090000000000001,0.3668,0,---,2.6250890264834807
23478,0.092541,8288542.0,2.1060577306577966e+18,287.27201066277,0.054,44.26138722793,0.0571,1.6111,0.0589,-3.501,0.118,-9.08,0.137,104670.0,25.3978,13.138807,54388.8,78.5957,13.512615,72398.8,66.5179,12.612591,0.900024,-9.47,2.03,5477.54,0.4805,0.235,1.42,1.632,b'2MASS J19090528+4415412',287.27203,44.261452,13.152,5768.0,138.0,-155.0,b'PHO1',4.509,0.06,-0.192,b'KIC0',-0.12,0.3,-0.3,b'KIC0',0.896,0.254,-0.085,0.946,0.111,-0.111,b'DSEP',0.0,0.0,0.0,12.013,11.711,11.639,b'N/A',b'none',0.03655887281981255,5560,4.51,0.9809,18.025,0.327,5016.98,0.977,0.5803,0,---,1.4376477767580833
23485,0.091831,8289241.0,2.1061376514084836e+18,287.62729423347,0.023,44.2807016681,0.0305,4.5865,0.0301,-5.272,0.046,-26.751,0.05,1391980.0,542.841,10.329286,787242.0,736.09,10.611118,863634.0,538.726,9.921095,0.690023,2.89,1.67,6072.05,0.3043,0.133,1.45,2.578,b'2MASS J19103055+4416510',287.62732,44.280842,10.395,6197.0,80.0,-74.0,b'SPE72',4.242,0.018,-0.016,b'AST10',0.04,0.15,-0.1,b'SPE72',1.343,0.056,-0.05,1.149,0.086,-0.078,b'DSEP',0.0,0.0,0.0,9.407,9.221,9.169,b'N/A',b'none',0.006562738471601439,6104,4.25,1.1395,8.171,0.036000000000000004,294.98,0.52,0.3886,0,---,0.29597085166885
23495,0.095292,8291907.0,2.1030921029791575e+18,288.93230996102,0.0719,44.28261462949,0.0768,2.0089,0.0834,0.903,0.163,4.215,0.156,148870.0,32.9358,12.75635,82919.5,98.4557,13.054747,96547.8,74.1472,12.300064,0.754683,-1.89,1.24,5999.67,0.1175,0.0525,1.11,1.441,b'2MASS J19154376+4416573',288.93234,44.282589,12.81,6026.0,78.0,-90.0,b'SPE68',4.437,0.054,-0.126,b'SPE68',-0.14,0.15,-0.15,b'SPE68',1.006,0.156,-0.078,1.007,0.06,-0.066,b'DSEP',0.0,0.0,0.0,11.743,11.464,11.413,b'N/A',b'none',0.04151525710587884,6042,4.17,1.12,15.834000000000001,0.054000000000000006,1137.17,1.206,0.6121,0,---,1.3041267727387702
23529,0.027232,8296591.0,2.1269659063326188e+18,290.64155948441,0.0181,44.26502919148,0.0241,3.9661,0.022,9.59,0.039,9.751,0.045,575434.0,229.617,11.288376,322864.0,358.825,11.57884,366126.0,200.839,10.852844,0.725996,-9.47,0.8,6070.5,0.0892,0.029,1.08,1.425,b'2MASS J19223395+4415539',290.64151,44.264992,11.348,6148.0,83.0,-92.0,b'SPE68',4.372,0.073,-0.126,b'SPE68',-0.16,0.15,-0.15,b'SPE68',1.087,0.179,-0.096,1.013,0.081,-0.051,b'DSEP',0.0,0.0,0.0,10.348,10.09,10.062,b'N/A',b'none',0.005547010917526033,6041,4.15,1.1196,10.767999999999999,0.09300000000000001,745.95,0.516,0.3983,0,---,0.26275179227633183
23531,0.112969,8296853.0,2.1262152491298872e+18,290.73841847736,0.0168,44.22147799622,0.0189,2.5777,0.0191,-5.392,0.035,-16.795,0.036,135377.0,24.6472,12.859504,71791.8,76.7628,13.211201,91526.8,80.1501,12.358049,0.853151,2.84,1.18,5752.0,0.0397,0.0295,0.9,0.806,b'2MASS J19225722+4413176',290.73846,44.221581,12.882,6049.0,164.0,-164.0,b'PHO1',4.111,0.252,-0.126,b'FLK73',-0.24,0.3,-0.3,b'KIC0',1.461,0.316,-0.386,1.004,0.174,-0.116,b'DSEP',0.0,0.0,0.0,11.775,11.484,11.419,b'N/A',b'none',0.007409706327346083,5788,4.15,1.0443,20.277,0.059000000000000004,1816.54,0.441,0.3091,0,---,0.5975266527868599
23567,0.116629,8300580.0,2.126543655211517e+18,292.12540182265,0.0209,44.25000659048,0.0237,2.6151,0.0258,-9.59,0.049,0.229,0.049,233288.0,33.8178,12.268634,125111.0,160.209,12.608151,154829.0,104.114,11.787287,0.820864,-7.21,0.69,5693.5,0.139,0.075,1.2,1.355,b'2MASS J19283010+4415001',292.12546,44.250038,12.308,6082.0,165.0,-184.0,b'PHO1',4.298,0.135,-0.135,b'FLK73',-0.04,0.25,-0.3,b'KIC0',1.206,0.25,-0.205,1.052,0.153,-0.125,b'DSEP',0.0,0.0,0.0,11.211,10.962,10.9,b'N/A',b'none',0.00986577951129976,5844,4.36,1.0604,14.62,2.397,2736.03,0.483,0.3624,0,---,3.599428149791777
23574,0.36039,8301866.0,2.1263465033316096e+18,292.62591797669,0.0128,44.21509820521,0.0153,2.1763,0.0159,4.972,0.027,17.328,0.029,74817.7,18.4917,13.503354,37206.7,68.7625,13.924835,55569.8,290.845,12.899823,1.025012,-30.74,2.62,5141.0,0.287,0.142,1.03,0.67,b'2MASS J19303019+4412543',292.62582,44.215111,13.479,5569.0,167.0,-150.0,b'PHO1',4.496,0.081,-0.15,b'KIC0',-0.24,0.3,-0.3,b'KIC0',0.855,0.193,-0.104,0.835,0.109,-0.072,b'DSEP',0.0,0.0,0.0,12.016,11.499,11.444,b'N/A',b'none',0.007305978036116345,5231,4.5,0.894,22.06,0.094,6204.61,0.845,0.5463,0,---,0.8560009237874223
